class_code,subclass_code,class_name,subclass_name,code,name
A,A01,农、林、牧、渔业,农业,601118,海南橡胶
A,A01,农、林、牧、渔业,农业,300087,荃银高科
A,A01,农、林、牧、渔业,农业,300189,神农科技
A,A01,农、林、牧、渔业,农业,002772,众兴菌业
A,A01,农、林、牧、渔业,农业,300511,雪榕生物
A,A01,农、林、牧、渔业,农业,600108,亚盛集团
A,A01,农、林、牧、渔业,农业,600313,农发种业
A,A01,农、林、牧、渔业,农业,600354,敦煌种业
A,A01,农、林、牧、渔业,农业,600359,新农开发
A,A01,农、林、牧、渔业,农业,600371,万向德农
A,A01,农、林、牧、渔业,农业,600506,香梨股份
A,A01,农、林、牧、渔业,农业,600540,新赛股份
A,A01,农、林、牧、渔业,农业,600598,北大荒
A,A01,农、林、牧、渔业,农业,000998,隆平高科
A,A01,农、林、牧、渔业,农业,002041,登海种业
A,A02,农、林、牧、渔业,林业,002200,*ST云投
A,A02,农、林、牧、渔业,林业,002679,福建金森
A,A02,农、林、牧、渔业,林业,600265,ST景谷
A,A02,农、林、牧、渔业,林业,000592,平潭发展
A,A03,农、林、牧、渔业,畜牧业,002234,民和股份
A,A03,农、林、牧、渔业,畜牧业,002299,圣农发展
A,A03,农、林、牧、渔业,畜牧业,300498,温氏股份
A,A03,农、林、牧、渔业,畜牧业,002321,华英农业
A,A03,农、林、牧、渔业,畜牧业,300106,西部牧业
A,A03,农、林、牧、渔业,畜牧业,002458,益生股份
A,A03,农、林、牧、渔业,畜牧业,002477,*ST雏鹰
A,A03,农、林、牧、渔业,畜牧业,300313,天山生物
A,A03,农、林、牧、渔业,畜牧业,002714,牧原股份
A,A03,农、林、牧、渔业,畜牧业,002746,仙坛股份
A,A03,农、林、牧、渔业,畜牧业,300761,立华股份
A,A03,农、林、牧、渔业,畜牧业,600965,福成股份
A,A03,农、林、牧、渔业,畜牧业,600975,新五丰
A,A03,农、林、牧、渔业,畜牧业,000735,罗 牛 山
A,A04,农、林、牧、渔业,渔业,002069,獐子岛
A,A04,农、林、牧、渔业,渔业,002086,ST东海洋
A,A04,农、林、牧、渔业,渔业,300094,国联水产
A,A04,农、林、牧、渔业,渔业,002696,百洋股份
A,A04,农、林、牧、渔业,渔业,600097,开创国际
A,A04,农、林、牧、渔业,渔业,600257,大湖股份
A,A04,农、林、牧、渔业,渔业,600467,好当家
A,A04,农、林、牧、渔业,渔业,000798,中水渔业
A,A04,农、林、牧、渔业,渔业,200992,中  鲁Ｂ
A,A05,农、林、牧、渔业,农、林、牧、渔服务业,000713,丰乐种业
B,B06,采矿业,煤炭开采和洗选业,601699,潞安环能
B,B06,采矿业,煤炭开采和洗选业,601666,平煤股份
B,B06,采矿业,煤炭开采和洗选业,002128,露天煤业
B,B06,采矿业,煤炭开采和洗选业,601088,中国神华
B,B06,采矿业,煤炭开采和洗选业,601918,新集能源
B,B06,采矿业,煤炭开采和洗选业,601898,中煤能源
B,B06,采矿业,煤炭开采和洗选业,601101,昊华能源
B,B06,采矿业,煤炭开采和洗选业,601225,陕西煤业
B,B06,采矿业,煤炭开采和洗选业,600121,郑州煤电
B,B06,采矿业,煤炭开采和洗选业,600123,兰花科创
B,B06,采矿业,煤炭开采和洗选业,600157,永泰能源
B,B06,采矿业,煤炭开采和洗选业,600188,兖州煤业
B,B06,采矿业,煤炭开采和洗选业,600348,阳泉煤业
B,B06,采矿业,煤炭开采和洗选业,600395,盘江股份
B,B06,采矿业,煤炭开采和洗选业,600397,安源煤业
B,B06,采矿业,煤炭开采和洗选业,600403,大有能源
B,B06,采矿业,煤炭开采和洗选业,600508,上海能源
B,B06,采矿业,煤炭开采和洗选业,600714,金瑞矿业
B,B06,采矿业,煤炭开采和洗选业,600758,红阳能源
B,B06,采矿业,煤炭开采和洗选业,600971,恒源煤电
B,B06,采矿业,煤炭开采和洗选业,600985,淮北矿业
B,B06,采矿业,煤炭开采和洗选业,601001,大同煤业
B,B06,采矿业,煤炭开采和洗选业,900948,伊泰Ｂ股
B,B06,采矿业,煤炭开采和洗选业,000552,靖远煤电
B,B06,采矿业,煤炭开采和洗选业,000780,平庄能源
B,B06,采矿业,煤炭开采和洗选业,000937,冀中能源
B,B06,采矿业,煤炭开采和洗选业,000983,西山煤电
B,B07,采矿业,石油和天然气开采业,601857,中国石油
B,B07,采矿业,石油和天然气开采业,300483,沃施股份
B,B07,采矿业,石油和天然气开采业,600028,中国石化
B,B07,采矿业,石油和天然气开采业,600256,广汇能源
B,B07,采矿业,石油和天然气开采业,600759,洲际油气
B,B07,采矿业,石油和天然气开采业,000968,蓝焰控股
B,B08,采矿业,黑色金属矿采选业,601969,海南矿业
B,B08,采矿业,黑色金属矿采选业,600532,宏达矿业
